id,title,author,genre,publication_year,plot
72,The Haunted Mansion,Victoria Lane,Horror,2014,A family moves into a haunted mansion and must confront the ghosts within.
73,The Forgotten City,Thomas Lee,Fantasy,2016,A young adventurer discovers a forgotten city hidden beneath the earth.
74,The Alien Invasion,Karen Smith,Science Fiction,2019,Aliens invade Earth and a group of survivors must fight back.
75,The Mystery of the Lighthouse,James Wilson,Mystery,2012,A lighthouse keeper's mysterious death leads to a series of revelations.
76,The Dragon's Lair,Emma Johnson,Fantasy,2013,A dragon slayer must confront the most powerful dragon in the realm.
77,The Space Odyssey,Daniel Miller,Science Fiction,2019,A crew embarks on a journey to explore the outer reaches of the galaxy.
78,The Curse of the Pharaoh,Olivia Scott,Mystery,2010,An archaeologist uncovers an ancient tomb and unleashes a deadly curse.
79,The Enchanted Castle,Sophia Turner,Fantasy,2017,A princess must break a spell to save her kingdom from eternal darkness.
80,The Time Paradox,Paul Adams,Science Fiction,2019,A time traveler creates a paradox that threatens the existence of the universe.
81,The Ghostly Presence,Rebecca Young,Horror,2015,A woman moves into a new house and begins to experience strange occurrences.
82,The Lost Civilization,Ethan Gray,Fantasy,2018,An explorer discovers a lost civilization deep in the jungle.
83,The Alien Encounter,Megan Brown,Science Fiction,2019,A group of scientists make first contact with an alien species.
84,The Mystery of the Museum,Samuel Harris,Mystery,2013,A series of thefts at a museum leads to a complex mystery.
85,The Dragon's Quest,Ava Clark,Fantasy,2014,A young dragon rider embarks on a quest to save their kingdom.
86,The Space Exploration,Benjamin Turner,Science Fiction,2019,A spaceship crew explores a new galaxy and encounters strange phenomena.
87,The Haunted House,Charlotte Lee,Horror,2016,A family moves into a haunted house and must confront the spirits within.
88,The Forgotten Realm,Henry Scott,Fantasy,2018,A warrior must journey to a forgotten realm to save his people.
89,The Alien Invasion,Isabella Smith,Science Fiction,2019,Aliens invade Earth and a group of survivors must fight back.
90,The Mystery of the Manor,William Wilson,Mystery,2014,A wealthy family gathers for a weekend in a manor but one of them is murdered.
91,The Enchanted Forest,Natalie Johnson,Fantasy,2019,A group of children enter a magical forest and encounter mythical creatures.
92,The Time Traveler's Dilemma,Alexander Davis,Science Fiction,2019,A time traveler must decide whether to change the past or let history unfold.
93,The Haunted Mansion,Victoria Lane,Horror,2015,A family moves into a haunted mansion and must confront the ghosts within.
94,The Forgotten City,Thomas Lee,Fantasy,2017,A young adventurer discovers a forgotten city hidden beneath the earth.
95,The Alien Invasion,Karen Smith,Science Fiction,2019,Aliens invade Earth and a group of survivors must fight back.
96,The Mystery of the Lighthouse,James Wilson,Mystery,2013,A lighthouse keeper's mysterious death leads to a series of revelations.
97,The Dragon's Lair,Emma Johnson,Fantasy,2014,A dragon slayer must confront the most powerful dragon in the realm.
98,The Space Odyssey,Daniel Miller,Science Fiction,2019,A crew embarks on a journey to explore the outer reaches of the galaxy.
99,The Curse of the Pharaoh,Olivia Scott,Mystery,2011,An archaeologist uncovers an ancient tomb and unleashes a deadly curse.
100,The Enchanted Castle,Sophia Turner,Fantasy,2018,A princess must break a spell to save her kingdom from eternal darkness.
101,The Time Paradox,Paul Adams,Science Fiction,2019,A time traveler creates a paradox that threatens the existence of the universe.
102,The Ghostly Presence,Rebecca Young,Horror,2016,A woman moves into a new house and begins to experience strange occurrences.
103,The Lost Civilization,Ethan Gray,Fantasy,2019,An explorer discovers a lost civilization deep in the jungle.
104,The Alien Encounter,Megan Brown,Science Fiction,2019,A group of scientists make first contact with an alien species.
105,The Mystery of the Museum,Samuel Harris,Mystery,2014,A series of thefts at a museum leads to a complex mystery.
106,The Dragon's Quest,Ava Clark,Fantasy,2015,A young dragon rider embarks on a quest to save their kingdom.
107,The Space Exploration,Benjamin Turner,Science Fiction,2019,A spaceship crew explores a new galaxy and encounters strange phenomena.
108,The Haunted House,Charlotte Lee,Horror,2017,A family moves into a haunted house and must confront the spirits within.
109,The Forgotten Realm,Henry Scott,Fantasy,2019,A warrior must journey to a forgotten realm to save his people.
110,The Alien Invasion,Isabella Smith,Science Fiction,2019,Aliens invade Earth and a group of survivors must fight back.
111,The Mystery of the Manor,William Wilson,Mystery,2015,A wealthy family gathers for a weekend in a manor but one of them is murdered.
112,The Enchanted Forest,Natalie Johnson,Fantasy,2019,A group of children enter a magical forest and encounter mythical creatures.
113,The Time Traveler's Dilemma,Alexander Davis,Science Fiction,2019,A time traveler must decide whether to change the past or let history unfold.
114,The Haunted Mansion,Victoria Lane,Horror,2016,A family moves into a haunted mansion and must confront the ghosts within.
115,The Forgotten City,Thomas Lee,Fantasy,2018,A young adventurer discovers a forgotten city hidden beneath the earth.
116,The Alien Invasion,Karen Smith,Science Fiction,2019,Aliens invade Earth and a group of survivors must fight back.
117,The Mystery of the Lighthouse,James Wilson,Mystery,2014,A lighthouse keeper's mysterious death leads to a series of revelations.
118,The Dragon's Lair,Emma Johnson,Fantasy,2015,A dragon slayer must confront the most powerful dragon in the realm.
119,The Space Odyssey,Daniel Miller,Science Fiction,2019,A crew embarks on a journey to explore the outer reaches of the galaxy.
120,The Curse of the Pharaoh,Olivia Scott,Mystery,2012,An archaeologist uncovers an ancient tomb and unleashes a deadly curse.
121,The Enchanted Castle,Sophia Turner,Fantasy,2019,A princess must break a spell to save her kingdom from eternal darkness.
122,The Time Paradox,Paul Adams,Science Fiction,2019,A time traveler creates a paradox that threatens the existence of the universe.
123,The Ghostly Presence,Rebecca Young,Horror,2017,A woman moves into a new house and begins to experience strange occurrences.
124,The Lost Civilization,Ethan Gray,Fantasy,2019,An explorer discovers a lost civilization deep in the jungle.
125,The Alien Encounter,Megan Brown,Science Fiction,2019,A group of scientists make first contact with an alien species.
126,The Mystery of the Museum,Samuel Harris,Mystery,2015,A series of thefts at a museum leads to a complex mystery.
127,The Dragon's Quest,Ava Clark,Fantasy,2016,A young dragon rider embarks on a quest to save their kingdom.
128,The Space Exploration,Benjamin Turner,Science Fiction,2019,A spaceship crew explores a new galaxy and encounters strange phenomena.
129,The Haunted House,Charlotte Lee,Horror,2018,A family moves into a haunted house and must confront the spirits within.
130,The Forgotten Realm,Henry Scott,Fantasy,2019,A warrior must journey to a forgotten realm to save his people.
131,The Alien Invasion,Isabella Smith,Science Fiction,2019,Aliens invade Earth and a group of survivors must fight back.
132,The Mystery of the Manor,William Wilson,Mystery,2016,A wealthy family gathers for a weekend in a manor but one of them is murdered.
133,The Enchanted Forest,Natalie Johnson,Fantasy,2019,A group of children enter a magical forest and encounter mythical creatures.
134,The Time Traveler's Dilemma,Alexander Davis,Science Fiction,2019,A time traveler must decide whether to change the past or let history unfold.
135,The Haunted Mansion,Victoria Lane,Horror,2017,A family moves into a haunted mansion and must confront the ghosts within.
136,The Forgotten City,Thomas Lee,Fantasy,2019,A young adventurer discovers a forgotten city hidden beneath the earth.
137,The Alien Invasion,Karen Smith,Science Fiction,2019,Aliens invade Earth and a group of survivors must fight back.
138,The Mystery of the Lighthouse,James Wilson,Mystery,2015,A lighthouse keeper's mysterious death leads to a series of revelations.
139,The Dragon's Lair,Emma Johnson,Fantasy,2016,A dragon slayer must confront the most powerful dragon in the realm.
140,The Space Odyssey,Daniel Miller,Science Fiction,2019,A crew embarks on a journey to explore the outer reaches of the galaxy.
141,The Curse of the Pharaoh,Olivia Scott,Mystery,2013,An archaeologist uncovers an ancient tomb and unleashes a deadly curse.
142,The Enchanted Castle,Sophia Turner,Fantasy,2019,A princess must break a spell to save her kingdom from eternal darkness.
143,The Time Paradox,Paul Adams,Science Fiction,2019,A time traveler creates a paradox that threatens the existence of the universe.
144,The Ghostly Presence,Rebecca Young,Horror,2018,A woman moves into a new house and begins to experience strange occurrences.
145,The Lost Civilization,Ethan Gray,Fantasy,2019,An explorer discovers a lost civilization deep in the jungle.
146,The Alien Encounter,Megan Brown,Science Fiction,2019,A group of scientists make first contact with an alien species.
147,The Mystery of the Museum,Samuel Harris,Mystery,2016,A series of thefts at a museum leads to a complex mystery.
148,The Dragon's Quest,Ava Clark,Fantasy,2017,A young dragon rider embarks on a quest to save their kingdom.
149,The Space Exploration,Benjamin Turner,Science Fiction,2019,A spaceship crew explores a new galaxy and encounters strange phenomena.
150,The Haunted House,Charlotte Lee,Horror,2019,A family moves into a haunted house and must confront the spirits within.
151,The Forgotten Realm,Henry Scott,Fantasy,2019,A warrior must journey to a forgotten realm to save his people.
152,The Alien Invasion,Isabella Smith,Science Fiction,2019,Aliens invade Earth and a group of survivors must fight back.
153,The Mystery of the Manor,William Wilson,Mystery,2017,A wealthy family gathers for a weekend in a manor but one of them is murdered.
154,The Enchanted Forest,Natalie Johnson,Fantasy,2019,A group of children enter a magical forest and encounter mythical creatures.
155,The Time Traveler's Dilemma,Alexander Davis,Science Fiction,2019,A time traveler must decide whether to change the past or let history unfold.
156,The Haunted Mansion,Victoria Lane,Horror,2018,A family moves into a haunted mansion and must confront the ghosts within.
157,The Forgotten City,Thomas Lee,Fantasy,2019,A young adventurer discovers a forgotten city hidden beneath the earth.
158,The Alien Invasion,Karen Smith,Science Fiction,2019,Aliens invade Earth and a group of survivors must fight back.
159,The Mystery of the Lighthouse,James Wilson,Mystery,2016,A lighthouse keeper's mysterious death leads to a series of revelations.
160,The Dragon's Lair,Emma Johnson,Fantasy,2017,A dragon slayer must confront the most powerful dragon in the realm.
161,The Space Odyssey,Daniel Miller,Science Fiction,2019,A crew embarks on a journey to explore the outer reaches of the galaxy.
162,The Curse of the Pharaoh,Olivia Scott,Mystery,2014,An archaeologist uncovers an ancient tomb and unleashes a deadly curse.
163,The Enchanted Castle,Sophia Turner,Fantasy,2019,A princess must break a spell to save her kingdom from eternal darkness.
164,The Time Paradox,Paul Adams,Science Fiction,2019,A time traveler creates a paradox that threatens the existence of the universe.
165,The Ghostly Presence,Rebecca Young,Horror,2019,A woman moves into a new house and begins to experience strange occurrences.
166,The Lost Civilization,Ethan Gray,Fantasy,2019,An explorer discovers a lost civilization deep in the jungle.
167,The Alien Encounter,Megan Brown,Science Fiction,2019,A group of scientists make first contact with an alien species.
168,The Mystery of the Museum,Samuel Harris,Mystery,2017,A series of thefts at a museum leads to a complex mystery.
169,The Dragon's Quest,Ava Clark,Fantasy,2018,A young dragon rider embarks on a quest to save their kingdom.
170,The Space Exploration,Benjamin Turner,Science Fiction,2019,A spaceship crew explores a new galaxy and encounters strange phenomena.
171,The Haunted House,Charlotte Lee,Horror,2019,A family moves into a haunted house and must confront the spirits within.
172,The Forgotten Realm,Henry Scott,Fantasy,2019,A warrior must journey to a forgotten realm to save his people.
173,The Alien Invasion,Isabella Smith,Science Fiction,2019,Aliens invade Earth and a group of survivors must fight back.
174,The Mystery of the Manor,William Wilson,Mystery,2018,A wealthy family gathers for a weekend in a manor but one of them is murdered.
175,The Enchanted Forest,Natalie Johnson,Fantasy,2019,A group of children enter a magical forest and encounter mythical creatures.
176,The Time Traveler's Dilemma,Alexander Davis,Science Fiction,2019,A time traveler must decide whether to change the past or let history unfold.
177,The Haunted Mansion,Victoria Lane,Horror,2019,A family moves into a haunted mansion and must confront the ghosts within.
178,The Forgotten City,Thomas Lee,Fantasy,2019,A young adventurer discovers a forgotten city hidden beneath the earth.
179,The Alien Invasion,Karen Smith,Science Fiction,2019,Aliens invade Earth and a group of survivors must fight back.
180,The Mystery of the Lighthouse,James Wilson,Mystery,2017,A lighthouse keeper's mysterious death leads to a series of revelations.
181,The Dragon's Lair,Emma Johnson,Fantasy,2018,A dragon slayer must confront the most powerful dragon in the realm.
182,The Space Odyssey,Daniel Miller,Science Fiction,2019,A crew embarks on a journey to explore the outer reaches of the galaxy.
183,The Curse of the Pharaoh,Olivia Scott,Mystery,2015,An archaeologist uncovers an ancient tomb and unleashes a deadly curse.
184,The Enchanted Castle,Sophia Turner,Fantasy,2019,A princess must break a spell to save her kingdom from eternal darkness.
185,The Time Paradox,Paul Adams,Science Fiction,2019,A time traveler creates a paradox that threatens the existence of the universe.
186,The Ghostly Presence,Rebecca Young,Horror,2019,A woman moves into a new house and begins to experience strange occurrences.
187,The Lost Civilization,Ethan Gray,Fantasy,2019,An explorer discovers a lost civilization deep in the jungle.
188,The Alien Encounter,Megan Brown,Science Fiction,2019,A group of scientists make first contact with an alien species.
189,The Mystery of the Museum,Samuel Harris,Mystery,2018,A series of thefts at a museum leads to a complex mystery.
190,The Dragon's Quest,Ava Clark,Fantasy,2019,A young dragon rider embarks on a quest to save their kingdom.
191,The Space Exploration,Benjamin Turner,Science Fiction,2019,A spaceship crew explores a new galaxy and encounters strange phenomena.
192,The Haunted House,Charlotte Lee,Horror,2019,A family moves into a haunted house and must confront the spirits within.
193,The Forgotten Realm,Henry Scott,Fantasy,2019,A warrior must journey to a forgotten realm to save his people.
194,The Alien Invasion,Isabella Smith,Science Fiction,2019,Aliens invade Earth and a group of survivors must fight back.
195,The Mystery of the Manor,William Wilson,Mystery,2019,A wealthy family gathers for a weekend in a manor but one of them is murdered.
196,The Enchanted Forest,Natalie Johnson,Fantasy,2019,A group of children enter a magical forest and encounter mythical creatures.
197,The Time Traveler's Dilemma,Alexander Davis,Science Fiction,2019,A time traveler must decide whether to change the past or let history unfold.
198,The Haunted Mansion,Victoria Lane,Horror,2019,A family moves into a haunted mansion and must confront the ghosts within.
199,The Forgotten City,Thomas Lee,Fantasy,2019,A young adventurer discovers a forgotten city hidden beneath the earth.
200,The Alien Invasion,Karen Smith,Science Fiction,2019,Aliens invade Earth and a group of survivors must fight back.
201,The Whispering Woods,Emily Thorne,Fantasy,2020,A young girl discovers a hidden magical forest where she must confront her fears to save her village.
202,Echoes of Time,Johnathan Black,Science Fiction,2019,A scientist invents a time machine and travels back to prevent a global catastrophe.
203,Shadows of the Past,Victoria Lane,Mystery,2018,A detective unravels a series of murders that seem to be connected to an old unsolved case.
204,The Lost Kingdom,David King,Adventure,2017,A group of explorers search for a legendary kingdom hidden deep within the Amazon rainforest.
205,Beyond the Stars,Sara White,Romance,2016,A love story between an astronaut and a scientist who meet during a space mission.
206,The Haunted Mansion,Michael Dark,Horror,2015,A family moves into an old mansion and begins to experience supernatural events.
207,The Forgotten City,Lucy Green,Historical Fiction,2014,A tale of a city lost to time and the archaeologist who discovers its secrets.
208,The Enchanted Mirror,Olivia Blue,Fantasy,2013,A magical mirror that grants wishes leads a young boy on a dangerous adventure.
209,The Digital Frontier,Thomas Gray,Science Fiction,2012,A hacker uncovers a conspiracy that threatens the digital world.
210,The Vanishing Act,Emma Stone,Mystery,2011,A magician's assistant disappears during a performance leading to a complex investigation.
211,The Hidden Treasure,Richard Brown,Adventure,2010,A treasure hunter searches for a legendary pirate's hidden fortune.
212,The Starlit Path,Amelia Rose,Romance,2009,A couple finds love while hiking the Appalachian Trail.
213,The Cursed Castle,Henry Black,Horror,2008,A group of friends spends the night in a haunted castle and faces their darkest fears.
214,The Ancient Prophecy,Clara White,Historical Fiction,2007,An ancient prophecy comes true changing the course of history.
215,The Mystic Forest,Eleanor Green,Fantasy,2006,A young girl enters a mystical forest and encounters magical creatures.
216,The Time Traveler's Dilemma,Benjamin Gray,Science Fiction,2005,A time traveler must decide whether to change the past or let history unfold.
217,The Silent Witness,Sophia Stone,Mystery,2004,A detective solves a murder case with the help of a mute witness.
218,The Lost Island,Samuel Brown,Adventure,2003,A group of explorers discovers a lost island filled with ancient ruins.
219,The Moonlit Serenade,Isabella Rose,Romance,2002,A musician and a dancer fall in love during a moonlit performance.
220,The Haunted House,Alexander Dark,Horror,2001,A family moves into a haunted house and experiences terrifying events.
221,The Forgotten Legacy,Victoria Lane,Historical Fiction,2000,A historian uncovers a forgotten legacy that changes the course of history.
222,The Enchanted Garden,Olivia Blue,Fantasy,1999,A magical garden comes to life leading a young girl on a thrilling adventure.
223,The Digital Revolution,Thomas Gray,Science Fiction,1998,A computer programmer creates an AI that takes over the world.
224,The Vanishing Point,Emma Stone,Mystery,1997,A detective investigates a series of disappearances that seem to be connected.
225,The Hidden Cave,Richard Brown,Adventure,1996,A group of explorers discovers a hidden cave filled with ancient treasures.
226,The Starlit Dance,Amelia Rose,Romance,1995,A couple finds love while dancing under the stars.
227,The Cursed Mansion,Henry Black,Horror,1994,A group of friends spends the night in a haunted mansion and faces their darkest fears.
228,The Ancient Secret,Clara White,Historical Fiction,1993,An ancient secret is revealed changing the course of history.
229,The Mystic Lake,Eleanor Green,Fantasy,1992,A young girl discovers a mystical lake that grants wishes.
230,The Time Traveler's Choice,Benjamin Gray,Science Fiction,1991,A time traveler must choose between changing the past or letting history unfold.
231,The Silent Victim,Sophia Stone,Mystery,1990,A detective solves a murder case with the help of a silent witness.
232,The Lost City,Samuel Brown,Adventure,1989,A group of explorers discovers a lost city hidden deep within the jungle.
233,The Moonlit Waltz,Isabella Rose,Romance,1988,A musician and a dancer fall in love during a moonlit performance.
234,The Haunted Manor,Alexander Dark,Horror,1987,A family moves into a haunted manor and experiences terrifying events.
235,The Forgotten Heritage,Victoria Lane,Historical Fiction,1986,A historian uncovers a forgotten heritage that changes the course of history.
236,The Enchanted Meadow,Olivia Blue,Fantasy,1985,A magical meadow comes to life leading a young girl on a thrilling adventure.
237,The Digital Age,Thomas Gray,Science Fiction,1984,A computer programmer creates an AI that takes over the world.
238,The Vanishing Trail,Emma Stone,Mystery,1983,A detective investigates a series of disappearances that seem to be connected.
239,The Hidden Temple,Richard Brown,Adventure,1982,A group of explorers discovers a hidden temple filled with ancient treasures.
240,The Starlit Embrace,Amelia Rose,Romance,1981,A couple finds love while embracing under the stars.
241,The Cursed Estate,Henry Black,Horror,1980,A group of friends spends the night in a haunted estate and faces their darkest fears.
242,The Ancient Mystery,Clara White,Historical Fiction,1979,An ancient mystery is revealed changing the course of history.
243,The Mystic River,Eleanor Green,Fantasy,1978,A young girl discovers a mystical river that grants wishes.
244,The Time Traveler's Decision,Benjamin Gray,Science Fiction,1977,A time traveler must decide whether to change the past or let history unfold.
245,The Silent Observer,Sophia Stone,Mystery,1976,A detective solves a murder case with the help of a silent observer.
246,The Lost Ruins,Samuel Brown,Adventure,1975,A group of explorers discovers lost ruins hidden deep within the forest.
247,The Moonlit Melody,Isabella Rose,Romance,1974,A musician and a dancer fall in love during a moonlit performance.
248,The Haunted Villa,Alexander Dark,Horror,1973,A family moves into a haunted villa and experiences terrifying events.
249,The Forgotten Legacy,Victoria Lane,Historical Fiction,1972,A historian uncovers a forgotten legacy that changes the course of history.
250,The Enchanted Valley,Olivia Blue,Fantasy,1971,A magical valley comes to life leading a young girl on a thrilling adventure.
251,The Digital Era,Thomas Gray,Science Fiction,1970,A computer programmer creates an AI that takes over the world.
252,The Vanishing Path,Emma Stone,Mystery,1969,A detective investigates a series of disappearances that seem to be connected.
253,The Hidden Sanctuary,Richard Brown,Adventure,1968,A group of explorers discovers a hidden sanctuary filled with ancient treasures.
254,The Starlit Kiss,Amelia Rose,Romance,1967,A couple finds love while kissing under the stars.
255,The Cursed Hall,Henry Black,Horror,1966,A group of friends spends the night in a haunted hall and faces their darkest fears.
256,The Ancient Riddle,Clara White,Historical Fiction,1965,An ancient riddle is revealed changing the course of history.
257,The Mystic Mountain,Eleanor Green,Fantasy,1964,A young girl discovers a mystical mountain that grants wishes.
258,The Time Traveler's Journey,Benjamin Gray,Science Fiction,1963,A time traveler embarks on a journey through time to change the past.
259,The Silent Guardian,Sophia Stone,Mystery,1962,A detective solves a murder case with the help of a silent guardian.
260,The Lost Fortress,Samuel Brown,Adventure,1961,A group of explorers discovers a lost fortress hidden deep within the mountains.
261,The Moonlit Harmony,Isabella Rose,Romance,1960,A musician and a dancer fall in love during a moonlit performance.
262,The Haunted Chateau,Alexander Dark,Horror,1959,A family moves into a haunted chateau and experiences terrifying events.
263,The Forgotten Inheritance,Victoria Lane,Historical Fiction,1958,A historian uncovers a forgotten inheritance that changes the course of history.
264,The Enchanted Glade,Olivia Blue,Fantasy,1957,A magical glade comes to life leading a young girl on a thrilling adventure.
265,The Digital Future,Thomas Gray,Science Fiction,1956,A computer programmer creates an AI that takes over the world.
266,The Vanishing Trace,Emma Stone,Mystery,1955,A detective investigates a series of disappearances that seem to be connected.
267,The Hidden Shrine,Richard Brown,Adventure,1954,A group of explorers discovers a hidden shrine filled with ancient treasures.
268,The Starlit Caress,Amelia Rose,Romance,1953,A couple finds love while caressing under the stars.
269,The Cursed Abode,Henry Black,Horror,1952,A group of friends spends the night in a haunted abode and faces their darkest fears.
